#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:combined_alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:combined_alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:combined_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.combined_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:combined_alignment" name="distribution" x="@birthRate.t:combined_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@combined_alignment" id="treeLikelihood.combined_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:combined_alignment">
#            <siteModel id="SiteModel.s:combined_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:combined_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:combined_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:combined_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:combined_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:combined_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:combined_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
16000	-70078.73441536856	-70092.09784785457	13.36343248601619	-70092.09784785457	0.3055843629611629	13.36343248601619	7.061719160530676
17000	-70082.58926441876	-70094.90297615365	12.313711734900377	-70094.90297615365	0.3055843629611629	12.313711734900377	4.3378439113140494
18000	-70081.78123862138	-70091.92925915612	10.148020534743448	-70091.92925915612	0.30731717012317916	10.148020534743448	3.188928500143959
19000	-70077.22153416308	-70090.60883886213	13.38730469905439	-70090.60883886213	0.30311595570859845	13.38730469905439	7.071105181836799
20000	-70077.78928434532	-70090.0598366843	12.270552338990601	-70090.0598366843	0.3106904031725087	12.270552338990601	9.289307407730469
21000	-70078.34109977957	-70091.42887763168	13.087777852104413	-70091.42887763168	0.3146104980976985	13.087777852104413	6.472882106940589
22000	-70075.63104513235	-70088.86846242372	13.237417291369104	-70088.86846242372	0.3087279128243769	13.237417291369104	6.416538330640784
23000	-70079.02095959164	-70091.59560775728	12.574648165642513	-70091.59560775728	0.30769914599762416	12.574648165642513	4.753921191159648
24000	-70082.07062146615	-70093.77564155377	11.705020087631958	-70093.77564155377	0.30769914599762416	11.705020087631958	10.11651684737106
25000	-70082.83095507746	-70096.09108403657	13.260128959104597	-70096.09108403657	0.31077255546065974	13.260128959104597	6.572837602389048
26000	-70077.8258770554	-70090.99314372677	13.167266671364771	-70090.99314372677	0.30912324979332867	13.167266671364771	7.892824905081326
27000	-70084.63458263259	-70097.85470625227	13.220123619687245	-70097.85470625227	0.31241004052833693	13.220123619687245	6.215613444109965
28000	-70081.85493935684	-70093.87004548819	12.015106131358849	-70093.87004548819	0.31367522463664643	12.015106131358849	9.353188150125803
29000	-70078.78255947569	-70091.49694327204	12.714383796353925	-70091.49694327204	0.3068472303562318	12.714383796353925	8.602424049958042
30000	-70078.78734468257	-70091.33385427357	12.546509590997502	-70091.33385427357	0.3076375899341781	12.546509590997502	4.694268313601995
31000	-70079.066981782	-70091.96268969715	12.895707915143936	-70091.96268969715	0.30712605886147204	12.895707915143936	5.301238195001928
