"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
"101928626",0.259493163036231,0.576020060127499,3.12134172085118,0.184542453740189,0.853587925750861,NA,"101928626","LOC101928626"
"113219467",16106.0660499599,-1.15045695806417,0.428567644562849,-2.68442327053799,0.00726550583447525,0.0219540122430879,"113219467","MIR12136"
"81399",1.16652321860561,-0.00532773726924372,1.14940023931767,-0.00463523243427065,0.996301632848438,0.997723700723018,"81399","OR4F16"
"100133331",260.266169575257,-0.505509190158805,0.274092973826328,-1.84429824340958,0.0651396873648356,0.135585370365344,"100133331",NA
"107984841",46.0804563236491,0.00854070139220341,0.355268401180111,0.0240401380022354,0.980820592453097,0.989542007405187,"107984841",NA
"107984847",21.5022808367584,-0.249094095136876,0.394948286784386,-0.630700533391258,0.528236350246298,0.666855422851604,"107984847",NA
"107984849",5.60797032565231,-0.345389711090918,0.570754184889559,-0.605146173668006,0.545081876696718,0.68172572973851,"107984849",NA
"100288069",55.2057716066611,-0.196623597750646,0.302048838626305,-0.650966243223694,0.515068277957835,0.655492807925894,"100288069","LOC100288069"
"105378580",16.3281426246354,0.604401512331181,0.399379897653582,1.5133498603263,0.130190813838301,0.235139417747056,"105378580","LINC01409"
"400728",7.81455008867394,1.21994533513259,0.523353425001642,2.33101624419246,0.0197525031429578,0.050912194078346,"400728","FAM87B"
"79854",16.7154760888733,-0.319383714196822,0.393534321337145,-0.811577788467409,0.417033940667668,0.566931388974693,"79854","LINC00115"
"643837",96.4050429541415,-0.344201779154581,0.199576326558806,-1.7246623639661,0.0845883373667381,0.166649619631034,"643837","LINC01128"
"107984850",1.66058062208212,0.746462657762604,1.04672835681038,0.713138851074264,0.475759840576141,0.620599200312226,"107984850","LOC107984850"
"284593",5.81321139753205,-0.469278208734057,0.525732705297528,-0.892617491750829,0.372062048711244,0.522232887063555,"284593","FAM41C"
"284600",4.28317875354761,-2.59906172938593,0.852896318126508,-3.04733608780853,0.00230879406396484,0.00828525004085672,"284600","LOC284600"
"100130417",1.97287923918134,-2.55439808665396,1.20547904453765,-2.11899003821646,0.0340913088410875,0.0800024130280852,"100130417","LINC02593"
"107985728",2.03386874414836,-2.58058778285081,1.21712163975566,-2.12023819030024,0.0339859632508769,0.0798424905154066,"107985728","LOC107985728"
"148398",164.186843644653,-1.34241453807177,0.364658290581687,-3.68129444124364,0.000232052835036173,0.00111864939880039,"148398","SAMD11"
"26155",1157.14657863138,-0.66952130077909,0.218168075886556,-3.06883258725365,0.0021489697901235,0.00777765356720848,"26155","NOC2L"
"339451",187.663185919542,-1.08931952908077,0.378308698117801,-2.87944616261921,0.00398374308540903,0.0132463298507694,"339451","KLHL17"
"84069",221.320581947893,3.69423716996465,0.524042182270754,7.04950344637709,1.79557387331309e-12,3.7320682318621e-11,"84069","PLEKHN1"
"84808",36.344881681173,3.51379794851002,0.629562852442212,5.5813298622675,2.38686469009174e-08,2.77403011086598e-07,"84808","PERM1"
"57801",655.389279068491,5.47601999416376,0.532343353855313,10.2866316532471,8.09590578614856e-25,4.88250235222156e-23,"57801","HES4"
"9636",35606.8875468096,7.54078678204401,0.449940109786288,16.7595344758789,4.82386365028715e-63,1.13429012035389e-60,"9636","ISG15"
"375790",6245.11746809759,1.53753812594264,0.478010317769561,3.21653752813733,0.00129747563165002,0.00502394132221901,"375790","AGRN"
"100288175",31.4474725935867,0.297735750421762,0.425527884803284,0.699685640012525,0.484123646329996,0.62848061359112,"100288175","LOC100288175"
"112267874",17.1496188917702,-0.305764462547962,0.669096149593413,-0.45698135123594,0.647684449705622,0.76707684662508,"112267874",NA
"105378948",31.4204975078433,-0.0634220982782152,0.462609240830728,-0.137096479448455,0.890954535187851,0.932829478485113,"105378948","LOC105378948"
"401934",7.66387477522872,-0.561535291047923,0.726592674130409,-0.772833681154262,0.439620817480459,0.587801426966239,"401934","RNF223"
"54991",253.846227708116,-1.24495961705346,0.35395388471912,-3.51729327124464,0.000435971802365258,0.00193218533674486,"54991","C1orf159"
"100506376",2.17801799121835,1.01904065230959,0.924171488616599,1.10265320328699,0.270177796306303,0.411641398011286,"100506376","TTLL10-AS1"
"254173",1.81272586872628,2.26886369705189,1.21013433285722,1.87488581676294,0.0608084336914288,0.128465335139556,"254173","TTLL10"
